;id;operator
701;560106261;
702;560114663;
703;560391019;
704;561464109;Tamoil
705;563050310;
706;563266345;BP
707;563266349;Avia
708;563266351;
709;563266368;Avia
710;563266401;Avia
711;564782369;Coop
712;565569932;
713;565569934;
714;566182962;SOCAR Energy Switzerland
715;567263410;
716;568048266;
717;569351197;
718;573368452;Migrol
719;574844723;Agrola
720;574847059;
721;575172150;Coop Mineraloel
722;578221549;SOCAR Energy Switzerland
723;582575103;
724;582823240;
725;583411720;SOCAR Energy Switzerland
726;584797716;Rudi Rüssel
727;587984451;Schreinerei Schüpbach
728;589783503;
729;597414574;A.H. Meyer & Cie
730;597703700;Fritz Wey
731;597703746;Mercedes-Benz
732;598161461;Avia
733;599261559;
734;599551371;Coop
735;599765353;Coop Mineraloel AG
736;599930980;
737;600158726;
738;600529778;Migrol
739;602689055;Migrol
740;608491928;
741;610438795;Hotel Central
742;610450736;
743;610523132;
744;611057606;Migrol
745;611086591;A. Bürgi AG
746;612768908;Landi Zug
747;613341711;Agrola
748;613341712;
749;613341713;Tamoil
750;613343774;MiniPrix
751;613344818;Spurt
752;613344819;Tamoil
753;613346387;
754;613372013;Charmettes
755;614591922;Avia
756;614925304;
757;615926568;
758;616090346;Agrola
759;616098456;Miniprix
760;616255725;Agip
761;616280572;Coop Mineralöl AG
762;617264153;
763;617311047;
764;622512664;
765;623257608;Garage Sulser AG
766;623260650;
767;623872891;Agrola
768;625275843;
769;627048168;Nasa
770;632362719;
771;634105867;
772;634168057;
773;634456810;
774;634456823;
775;635764780;Energie Wasser Bern
776;638460775;
777;639124030;Avia
778;640061094;Tamoil
779;640061098;Avia
780;641086412;Tamoil
781;641170583;Coop
782;641252985;Oel-Pool AG
783;641289168;
784;641898421;Turm Kaffee
785;643000477;
786;643000482;Agrola
787;645523977;
788;654084765;
789;654507963;Auto Mirer AG
790;655019999;Garage Berset
791;655163017;Migrol
792;658588675;
793;658952529;
794;660450821;Burg & Holzmätteli Tankstellen AG
795;661493618;Shell
796;662858693;AVIA
797;663079734;Charmettes
798;663151349;
799;663205656;
800;663608023;
801;665533327;
802;666391084;
803;667277732;Landi Aarau-West
804;667278164;
805;668845217;
806;679057788;Auto Wyder
807;686939916;ESCA Centonze
808;686939964;Avia
809;687012474;SOCAR
810;687534736;
811;687752291;
812;687752317;
813;689203211;LANDI Frila
814;690532466;Garage Pfenniger AG
815;691356568;Wyssbrod Heizöl AG
816;694328678;Avia
817;694572836;TL
818;696657243;Avia
819;698881444;Ruedi Tinner AG
820;698881600;Shell (Switzerland)
821;700178508;
822;700178560;
823;701550963;
824;701652156;ESCA Centonze
825;701671099;Tamoil
826;701735044;Indipend.
827;702422600;
828;704348032;BP
829;704994300;
830;705005322;
831;713981283;
832;726850050;Coop Mineraloel
833;727434779;Mini-Prix
834;732044511;TAMOIL
835;732108642;
836;732108654;
837;734869663;Avia
838;734879882;Agrola
839;740484383;
840;745283443;Mini Prix
841;745958693;BP
842;746707045;Shell
843;746707068;Avia
844;746707073;Agip
845;746707079;Combustia
846;746707088;Shell
847;746737260;BP
848;747389413;Agrola
849;757365679;Ruedi Rüssel
850;758437538;
851;759831992;Avia
852;761492246;
853;765330262;BP
854;767892667;Agrola
855;769056366;Migrol
856;769788287;
857;769788355;Charmettes
858;769788379;Charmettes
859;769817319;Mini Prix
860;771144383;Migrol
861;771221358;Migrol
862;771363263;
863;772564165;
864;772564166;
865;773554425;
866;773905094;
867;775345890;Rudolf Günthardt AG
868;775540478;Agrola
869;775540515;Shell
870;775938665;
871;776975625;Landi-Bachtel
872;778541365;Avia
873;778592193;
874;783778702;
875;783958365;Agrola
876;785515374;
877;795605999;
878;798867374;
879;800657455;Agip
880;805122639;Coop-Pronto
881;805177092;
882;805177111;City
883;806387974;
884;806388027;
885;806655564;
886;810111212;
887;812858865;Agrola
888;814092498;
889;815705041;
890;820927325;
891;820927341;
892;820927357;
893;827610265;
894;828145645;
895;829492817;
896;834687489;Tamoil
897;836191228;
898;836844286;
899;836844290;
900;836844313;Shell
901;836868794;Migrol
902;838967717;Schweizer Armee
903;847850701;Avia
904;848484172;Avia
905;849037882;Comune di Sonogno
906;850468864;freie
907;850629471;Coop
908;851335831;
909;856769114;
910;858391133;patoil
911;858928210;Schätzle AG
912;860155609;
913;860423930;Coop
914;861343529;Shell
915;861491599;BP
916;861682957;AVIA
917;861682982;BP
918;865160661;Migrol
919;867337856;Agrola
920;867731827;
921;869106823;
922;869304912;Schlossgarage Seengen
